PID	Abundance
M00279	166.010987326
M00276	788.541066463
M00277	189.275356028
M00274	272.16230941
M00275	886.89862167
M00272	79.6601330334
M00273	2916.51019943
M00270	370.134762504
M00271	1430.39828629
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00371	0
M00370	0
M00012	92.0265841511
M00013	0
M00010	10625.631159
M00011	645.838790398
M00016	5786.59144916
M00017	3762.80132028
M00014	160.521379948
M00015	11972.2100489
M00153	9737.80246927
M00152	0
M00018	9436.18757514
M00019	3391.80528076
M00157	14742.8233979
M00156	0
M00155	0
M00154	0
M00128	6.05250128835
M00129	1.23513514516e-05
M00126	12415.8856041
M00127	6437.03419836
M00124	7984.53897489
M00125	15346.1014613
M00122	0
M00123	12644.774215
M00120	14088.5316469
M00121	1514.69640752
M00089	0.07027398707
M00088	69.9366078977
M00081	346.118683377
M00080	0
M00083	21309.0715908
M00082	7.71741471745e-10
M00085	15.6884093952
M00087	156.791375654
M00086	15757.0391269
M00333	0
M00332	0
M00331	0
M00330	1.75909538559e-07
M00337	0
M00336	1042.1491749
M00335	0
M00334	25.3616528427
M00339	0
M00338	820.870228495
M00238	3797.73219002
M00239	3881.60425232
M00232	776.819559547
M00233	33.8273511541
M00230	773.442888253
M00231	4.46849969286e-05
M00236	5312.07810633
M00237	1488.69523554
M00234	340.97365808
M00235	0.00689927445606
M00346	5.2213464951e-30
M00347	0
M00344	581.713434505
M00345	113.138793033
M00342	2.05104335315e-06
M00343	2.67683721979e-08
M00340	1.87034797911e-05
M00341	0
M00348	1088.49362297
M00349	4325.93869653
M00162	0
M00163	0
M00160	0
M00288	0
M00166	0.00666834489782
M00167	18.0741044944
M00164	14742.8233979
M00165	0.0311388594744
M00283	200.155355121
M00282	846.872101504
M00168	155.55741602
M00280	37.728860427
M00287	43.1714842427
M00286	0
M00285	0.000948715133407
M00284	0
M00049	17791.8946157
M00048	10628.2917512
M00045	10395.8350355
M00044	0
M00047	0
M00046	629.773079353
M00040	643.83053728
M00043	1.54103671822e-05
M00042	0
M00265	531.350735948
M00264	0.000142169296311
M00267	727.648357123
M00266	631.276181411
M00261	2.84171032084e-05
M00260	0
M00263	9.58251192579e-05
M00262	0
M00302	0.00135641366915
M00303	1.01338048378
M00300	620.271776865
M00301	0.000803204946934
M00306	3.43647887874
M00307	1604.47717324
M00304	0
M00305	0.0711120364098
M00289	74.0308764034
M00161	0
M00281	177.649818536
M00001	23509.5795391
M00003	23042.873854
M00002	23843.1985439
M00005	18640.8302454
M00004	11967.6099889
M00007	17803.5093512
M00006	9013.14660322
M00009	830.272725301
M00008	7442.25458633
M00159	3699.61244877
M00158	0
M00138	0
M00135	431.184177079
M00134	2216.14483844
M00137	0
M00136	0
M00131	0
M00130	1.68448238194
M00133	2324.94740714
M00132	0
M00151	31.0303615677
M00150	453.936826553
M00180	5.47511658878e-08
M00228	1922.92246682
M00182	0
M00183	16962.6705327
M00184	0
M00185	1550.17476973
M00186	74.9198498993
M00187	0.0167121554199
M00188	2463.8220048
M00189	2432.19998095
M00223	766.597543779
M00222	10852.5746344
M00225	112.968309658
M00224	313.915089769
M00227	509.723055551
M00226	103.813140547
M00308	262.124554922
M00355	0
M00354	0
M00357	0
M00356	0
M00351	0
M00350	0
M00353	0.000224095013968
M00352	0
M00359	24526.4478886
M00358	0
M00319	12.1379327644
M00251	650.810827268
M00311	15252.7100457
M00259	835.041310584
M00171	145.56041052
M00170	451.592043879
M00173	0.0190622272986
M00172	155.529386303
M00175	896.879040927
M00174	22.6119739288
M00177	0
M00176	50.9231403478
M00179	0
M00178	33482.9070954
M00078	4.2115147805e-07
M00079	1345.32907223
M00070	3.37599370115e-65
M00071	1.98490772978e-12
M00072	0
M00073	5.91998608307e-05
M00074	0
M00075	0
M00076	631.946421888
M00077	1470.31329076
M00229	54.8636141652
M00181	9.54244541107
M00118	41.7178411597
M00221	1392.34777087
M00220	52.3950222236
M00250	4343.30055331
M00318	7.58180670664e-09
M00252	0.589474587808
M00253	336.345245027
M00254	12458.7430383
M00255	9039.73084378
M00256	16255.0007197
M00257	0
M00258	14595.0531359
M00310	1686.60316138
M00313	10415.907261
M00312	239.427529277
M00315	1.4965135859e-17
M00314	0
M00317	3.09342239848e-07
M00316	1.11093837554e-19
M00038	4.70260296953e-10
M00039	0
M00034	344.941260341
M00035	2121.72567197
M00036	2.80698729731
M00037	0.000750661642359
M00030	0.00246623519186
M00031	2.95673322758
M00032	0.0345551560984
M00033	0
M00113	0
M00112	0
M00109	0
M00119	11645.9669676
M00100	8.63639305277
M00101	0
M00102	0
M00103	0
M00104	0
M00105	0
M00106	0
M00107	0
M00214	2727.88683587
