PID	Coverage
M00276	1
M00277	1
M00274	1
M00275	1
M00272	1
M00273	1
M00270	1
M00271	1
M00279	1
M00012	1
M00010	1
M00011	1
M00016	1
M00017	1
M00014	0.99967
M00015	1
M00153	1
M00018	1
M00019	1
M00157	1
M00128	0.00234502
M00129	5.57635e-11
M00126	1
M00127	1
M00124	1
M00125	1
M00123	1
M00120	1
M00121	1
M00088	8.1692e-06
M00081	1
M00083	1
M00085	0.770017
M00087	1
M00086	1
M00332	1.71592e-06
M00336	1
M00335	1
M00334	0.305581
M00338	1
M00238	1
M00239	1
M00232	1
M00233	0.371122
M00230	1
M00231	1.45671e-07
M00236	1
M00237	1
M00234	1
M00235	9.70522e-11
M00344	1
M00345	1
M00348	1
M00349	1
M00166	1.35975e-11
M00164	1
M00283	1
M00282	1
M00281	0.987393
M00169	1
M00287	1
M00285	1.40432e-09
M00049	1
M00048	1
M00045	1
M00047	8.03511e-08
M00046	1
M00040	0.000791039
M00043	4.66427e-07
M00265	1
M00264	0.000357236
M00267	1
M00266	1
M00260	0.999999
M00263	8.9072e-12
M00303	0.999997
M00300	1
M00306	1
M00307	1
M00304	1.80758e-08
M00305	0.999929
M00289	8.17795e-09
M00168	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	1
M00008	1
M00159	1
M00135	0.996375
M00134	1
M00136	1
M00130	0.278243
M00133	1
M00151	4.17152e-10
M00150	1
M00228	1
M00183	1
M00185	1
M00186	0.767574
M00221	1
M00220	0.326861
M00223	1
M00222	1
M00225	0.990928
M00224	1
M00227	1
M00226	0.999741
M00308	0.919915
M00359	1
M00319	0.00213766
M00258	1
M00310	1
M00171	0.796997
M00170	1
M00173	0.999908
M00172	1
M00175	1
M00174	0.714163
M00176	0.999975
M00178	1
M00079	1
M00073	2.62536e-12
M00076	1
M00077	1
M00229	0.999952
M00188	1
M00189	1
M00250	1
M00251	1
M00252	0.173551
M00253	1
M00254	1
M00255	1
M00256	1
M00311	1
M00259	1
M00313	1
M00312	1
M00315	4.78376e-13
M00317	0.20118
M00034	0.99236
M00035	1
M00036	1.27532e-10
M00030	7.31728e-07
M00031	2.34936e-10
M00032	0.00767039
M00214	1
M00215	1
M00216	1
M00217	0.078348
M00210	1
M00211	1
M00212	1
M00213	0.998739
M00063	1
M00218	0.000420122
M00219	1
M00199	1
M00198	1
M00197	1
M00194	1
M00193	1
M00192	0.986425
M00191	1
M00190	1
M00360	1
M00361	1
M00362	0.99999
M00364	1
M00365	1
M00366	7.78051e-05
M00064	1
M00149	1
M00061	1
M00060	1
M00144	1
M00140	1
M00141	1
M00309	1.74285e-05
M00269	1
M00268	1
M00098	1
M00092	5.91074e-11
M00093	1
M00090	1.79122e-12
M00091	0.194629
M00096	1
M00097	0.00611808
M00094	7.25397e-14
M00095	1.19934e-12
M00324	1
M00325	0.999733
M00326	0.975984
M00320	0.999999
M00323	2.36482e-07
M00249	9.01131e-07
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00241	1
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	1
M00026	1
M00025	1
M00024	1
M00280	0.999983
M00117	1
M00115	1
M00299	1
M00294	9.69693e-08
M00296	2.00096e-08
M00119	1
M00118	0.999997
M00058	6.926e-11
M00057	1.59454e-09
M00052	1
M00053	1
M00050	1
M00051	1
M00202	1
M00201	1
M00200	0.996329
M00207	1
M00206	0.920344
M00205	1
M00204	0.220761
M00209	1
M00208	1
