PID	Abundance
M00279	745.840525279
M00276	2618.39517702
M00277	2003.47047407
M00274	1272.19885037
M00275	1725.47280663
M00272	717.80973724
M00273	4007.51178379
M00270	1622.7252856
M00271	3219.40565116
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00371	0
M00370	0
M00012	1408.73545937
M00013	0
M00010	17371.4856712
M00011	5022.49622983
M00016	8068.16632999
M00017	3788.56541625
M00014	26.9112652815
M00015	18295.0916132
M00153	11859.6333923
M00152	0
M00018	8847.60715698
M00019	7928.1578232
M00157	17181.986558
M00156	97.2859518906
M00155	0
M00154	0
M00128	56.6334029802
M00129	0
M00126	16529.4159728
M00127	8911.78907197
M00124	8966.85433239
M00125	21176.5985508
M00122	0
M00123	16874.4082486
M00120	18080.2908311
M00121	2738.50971951
M00089	7.81286688836
M00088	0.406545652869
M00081	510.277771505
M00080	0
M00083	21388.8056459
M00082	1.29991275875e-13
M00085	38.4818905541
M00087	604.444319975
M00086	20095.6191495
M00333	91.5144898439
M00332	67.416290899
M00331	0
M00330	6.81899885744e-73
M00337	0
M00336	1789.18091008
M00335	3530.08968251
M00334	221.384062154
M00339	0
M00338	882.412965985
M00238	4043.01108025
M00239	6633.01143046
M00232	728.064776636
M00233	229.543731883
M00230	630.444703663
M00231	0.000323588717655
M00236	6732.35467849
M00237	3899.0484987
M00234	808.739670749
M00235	0.0694793948442
M00346	0
M00347	0
M00344	760.733915249
M00345	1128.28539134
M00342	4.953252601
M00343	2.99201843144e-09
M00340	0
M00341	0
M00348	999.116703921
M00349	629.334516195
M00162	0
M00163	0
M00160	0
M00288	0
M00166	0
M00167	286.293956964
M00164	17181.986558
M00165	0
M00283	1532.89859241
M00282	1164.51758734
M00168	2002.2018308
M00280	544.08236123
M00287	766.867954085
M00286	1.53370446623e-16
M00285	2.33902911266e-11
M00284	0
M00049	18150.6282396
M00048	11996.0938501
M00045	14306.4183521
M00044	0
M00047	2.1262346702e-08
M00046	289.694088623
M00040	26.8453728232
M00043	3.31693877629e-21
M00042	9.81383804576e-09
M00265	905.304139906
M00264	2.82038079062e-11
M00267	1475.94724771
M00266	1313.37976431
M00261	1.70053279331e-14
M00260	1509.74612456
M00263	6.67760886326e-09
M00262	0
M00302	0.000261969094279
M00303	585.78293396
M00300	1228.5425115
M00301	0
M00306	759.690170288
M00307	2305.1912307
M00304	0
M00305	384.366
M00289	3.12997176703e-05
M00161	0
M00281	434.40385094
M00001	24328.0804873
M00003	23288.8016413
M00002	23255.0518471
M00005	23618.9818135
M00004	16622.9724127
M00007	21990.7661557
M00006	13361.5183144
M00009	4863.9325525
M00008	10543.2280672
M00159	9054.24665208
M00158	0
M00138	0
M00135	348.654399304
M00134	1640.26043711
M00137	0
M00136	413.111573867
M00131	0
M00130	5.72841704729
M00133	2383.73789801
M00132	0
M00151	107.433012879
M00150	851.241776333
M00180	0
M00228	1503.38757634
M00182	0
M00183	8565.32530194
M00184	0
M00185	1543.41923795
M00186	164.5077736
M00187	3.83725593936e-08
M00188	4232.92506512
M00189	3603.00839501
M00223	1542.56578307
M00222	17266.723652
M00225	520.86960919
M00224	641.805113428
M00227	1026.3456112
M00226	520.19836462
M00308	152.611773575
M00355	0
M00354	0
M00357	0
M00356	0
M00351	0
M00350	3.09700731493e-09
M00353	0
M00352	0
M00359	23652.6498989
M00358	5.15893698409e-10
M00319	221.130771242
M00251	506.091136746
M00311	17722.1149381
M00259	1135.32622287
M00171	15.3460068146
M00170	2845.9250007
M00173	1725.24557913
M00172	1985.90385335
M00175	1009.56419471
M00174	158.671422601
M00177	0
M00176	477.727519535
M00179	0
M00178	25255.2000831
M00078	1.13375640806e-06
M00079	1851.78381575
M00070	3.50429037967e-25
M00071	9.3628488715e-19
M00072	0
M00073	0.000290644674364
M00074	0
M00075	0
M00076	962.903516315
M00077	1968.1821674
M00229	463.2497839
M00181	0
M00118	524.59576214
M00221	2598.11260674
M00220	52.9299664455
M00250	9185.43997075
M00318	1.05527889051e-11
M00252	0.313877528171
M00253	189.481976708
M00254	14179.3529621
M00255	6875.42393154
M00256	19012.4635445
M00257	0
M00258	19794.3664828
M00310	1286.1105811
M00313	14849.2905289
M00312	358.05376512
M00315	7.36701909639e-16
M00314	1.26056587044e-20
M00317	0.00525236490918
M00316	0
M00038	1.92531072305e-14
M00039	3.45310105339e-25
M00034	0.883743645671
M00035	11452.1980737
M00036	33.1182766052
M00037	0
M00030	0.00627555484073
M00031	8.80732802597
M00032	0.00975452307706
M00033	0
M00113	0
M00112	0
M00108	0
M00109	0
M00119	16726.613545
M00100	1.78182798165e-05
M00101	0
M00102	0
M00103	0
M00104	0
M00105	0
M00106	0
M00107	4.02452087592e-17
M00214	4997.38663156
M00215	1089.51583611
M00216	888.801741568
M00217	207.090624688
M00210	4367.23565458
M00211	8539.5754121
M00212	4753.5971099
M00213	517.181331043
M00148	0.0673096417773
M00218	23.2312775223
M00219	432.699076047
M00199	1847.4814696
M00198	1976.56780647
M00197	3288.03528132
M00194	2492.61204688
M00193	640.026841274
M00192	423.078707704
M00191	551.060039783
M00190	1431.43010439
M00068	2.89527630369e-18
M00360	23714.3887422
M00361	1428.30583449
M00362	360.279523522
M00364	2524.25115393
M00365	1567.35292415
M00366	29.3232348627
M00367	5.9294799273e-17
M00368	0
M00067	0
M00066	1.07490395552e-19
M00065	9.9615576836e-08
M00064	2516.81194043
M00063	13745.7198484
M00149	16921.1533296
M00061	13746.1383815
M00060	14702.7334251
M00144	8580.84899123
M00145	0
M00146	0
M00147	0
M00140	20725.7294664
M00141	734.882390817
M00142	0
M00143	0
M00309	0.0183841459545
M00269	839.957787321
M00268	1361.85209758
M00098	437.789190499
M00099	0
M00092	5.69552240925
M00093	15500.6262193
M00090	1.50865865146e-07
M00091	20.2129926633
M00096	8314.83926558
M00097	0.108154512519
M00094	0
M00095	2.38329969377e-05
M00324	1063.88760135
M00325	575.529440616
M00326	100.446385605
M00327	0
M00320	1008.50005865
M00321	8.82239573264e-08
M00322	4.55876176919e-09
M00323	1.32995128658e-07
M00328	0
M00329	0
M00249	205.606433114
M00248	11488.7042582
M00247	4912.44663008
M00246	4089.35870073
M00245	4089.35870073
M00244	2718.81289139
M00243	301.060275045
M00242	15043.1426481
M00241	429.512722293
M00240	13144.9830586
M00029	4579.44804356
M00028	11201.3667197
M00023	14944.5440829
M00022	13930.7445755
M00021	16973.347435
M00020	18596.8988533
M00027	1195.04157843
M00026	11388.654943
M00025	2565.97031534
M00024	1997.76374307
M00117	994.36905671
M00116	7.42588461328e-06
M00115	19152.5562449
M00114	0
M00298	3.08315510185e-13
M00299	18062.648592
M00110	0
M00294	2.5270900994e-15
M00295	0
M00296	0.00438674990906
M00297	1.89094765118e-32
M00290	0
M00291	0
M00292	6.04351841797e-26
M00293	0
M00058	7.16746460809e-15
M00059	1.40682899924e-16
M00056	2.61488179317e-21
M00057	6.32221914106e-08
M00055	9.87062716966e-06
M00052	17051.5569459
M00053	6091.52518911
M00050	18078.8501946
M00051	21372.0342358
M00203	2.29787111684e-05
M00202	627.620222677
M00201	219.675333685
M00200	194.979766937
M00207	3413.04656371
M00206	118.782780459
M00205	884.033712229
M00204	66.2232322663
M00209	2961.63987814
M00208	8924.00345626
M00169	18011.7145998
M00278	0
