PID	Coverage
M00279	0.537315
M00276	1
M00277	1
M00274	1
M00275	1
M00272	0.825889
M00273	1
M00270	1
M00271	1
M00012	0.0363584
M00010	1
M00011	0.945426
M00016	1
M00017	1
M00014	0.260399
M00015	1
M00153	1
M00018	1
M00019	1
M00157	1
M00156	0.60916
M00128	0.299324
M00129	0.000106772
M00126	1
M00127	1
M00124	1
M00125	1
M00123	1
M00120	1
M00121	1
M00089	0.0348968
M00088	1
M00081	1
M00083	1
M00085	2.15335e-08
M00087	1
M00086	1
M00333	0.00445035
M00335	1
M00334	0.00988332
M00338	1
M00238	1
M00239	1
M00232	1
M00233	0.99949
M00230	1
M00231	4.42071e-06
M00236	1
M00237	1
M00234	1
M00235	9.18665e-05
M00344	1
M00345	0.995429
M00342	0.348316
M00343	0.0158557
M00348	1
M00349	0.999921
M00289	1
M00166	0.0178869
M00167	0.00190544
M00164	1
M00165	1.36079e-08
M00283	1
M00282	1
M00281	0.985972
M00287	0.13664
M00286	0.0252249
M00284	5.81891e-05
M00049	1
M00048	1
M00045	1
M00047	9.28033e-07
M00046	1
M00040	0.0863191
M00043	3.54292e-08
M00265	1
M00264	4.7488e-05
M00267	1
M00266	1
M00261	0.00136362
M00263	0.0368132
M00302	0.00572013
M00303	0.00282968
M00300	1
M00306	0.146679
M00307	1
M00168	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	0.965179
M00008	1
M00159	1
M00135	1
M00134	1
M00136	0.67082
M00131	7.02726e-07
M00130	0.168947
M00133	1
M00151	0.530481
M00150	1
M00180	3.09373e-08
M00228	1
M00183	1
M00185	1
M00186	0.164531
M00187	1.04028e-06
M00221	1
M00220	0.186638
M00223	1
M00222	1
M00225	0.543641
M00224	0.999993
M00227	1
M00226	0.531054
M00308	1
M00353	1.58516e-08
M00359	1
M00358	1.65108e-05
M00319	1
M00318	0.000112018
M00258	1
M00310	1
M00171	0.999996
M00170	1
M00173	0.128397
M00172	1
M00175	1
M00174	0.187371
M00176	0.467937
M00178	1
M00078	6.71796e-07
M00079	1
M00073	0.00507398
M00076	1
M00077	1
M00229	0.272925
M00188	1
M00189	1
M00250	1
M00251	1
M00252	0.349307
M00253	0.431468
M00254	1
M00255	1
M00256	1
M00311	1
M00259	1
M00313	1
M00312	1
M00317	1.08089e-06
M00038	2.97339e-05
M00034	0.303732
M00035	1
M00036	0.00697
M00030	1.69276e-08
M00031	0.751312
M00032	9.39285e-07
M00033	0.175123
M00109	4.56957e-08
M00100	0.996389
M00214	1
M00215	0.999986
M00216	1
M00217	1
M00210	1
M00211	1
M00212	1
M00213	2.78005e-08
M00063	1
M00218	1.42225e-05
M00219	0.0276109
M00199	1
M00198	1
M00197	1
M00194	1
M00193	1
M00192	1.85441e-06
M00191	0.904465
M00190	1
M00360	1
M00361	1
M00362	0.998763
M00364	1
M00365	1
M00366	0.999902
M00067	8.4916e-08
M00065	0.000469498
M00064	1
M00148	0.000315236
M00149	1
M00061	1
M00060	1
M00144	1
M00140	1
M00141	1
M00309	1.76206e-05
M00269	1
M00268	0.999726
M00098	1
M00092	0.00890863
M00093	1
M00090	0.0116673
M00091	0.945437
M00096	1
M00097	0.893329
M00095	0.950595
M00324	1
M00325	1
M00326	0.854554
M00320	1
M00321	4.76623e-05
M00322	9.29437e-09
M00323	3.23614e-08
M00249	0.144662
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00241	1.00145e-05
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	1
M00026	1
M00025	1
M00024	1
M00117	0.999987
M00116	4.47491e-05
M00115	1
M00299	1
M00294	1.29564e-06
M00296	0.551574
M00290	1.41536e-06
M00119	1
M00118	0.999998
M00058	4.92689e-07
M00059	4.47303e-06
M00057	0.920885
M00055	4.34722e-06
M00052	1
M00053	1
M00050	1
M00051	1
M00203	1.45414e-08
M00202	1
M00201	0.969101
M00200	0.806493
M00207	1
M00206	0.874989
M00205	1
M00204	0.000825811
M00209	1
M00208	1
M00169	1
