PID	Coverage
M00279	1
M00276	1
M00277	1
M00274	1
M00275	1
M00272	0.999982
M00273	1
M00270	1
M00271	1
M00012	0.999987
M00010	1
M00011	0.991075
M00016	1
M00017	1
M00014	0.990663
M00015	1
M00153	1
M00018	1
M00019	1
M00157	1
M00156	3.65565e-06
M00128	0.847865
M00126	1
M00127	1
M00124	1
M00125	1
M00123	1
M00120	1
M00121	1
M00089	4.5191e-08
M00088	6.5301e-13
M00081	1
M00083	1
M00085	0.557108
M00087	1
M00086	1
M00332	4.47234e-07
M00330	4.38617e-07
M00336	1
M00335	0.999989
M00334	0.691192
M00338	1
M00238	1
M00239	1
M00232	1
M00233	1
M00230	0.999992
M00236	1
M00237	1
M00234	1
M00235	2.02957e-08
M00344	0.999887
M00345	0.781066
M00342	3.13274e-11
M00343	4.69911e-11
M00340	0.014507
M00348	1
M00349	1
M00289	0.999999
M00167	0.999957
M00164	1
M00283	1
M00282	1
M00281	1
M00280	0.992636
M00287	0.999902
M00285	0.0297622
M00049	1
M00048	1
M00045	1
M00046	1
M00040	4.21301e-07
M00265	1
M00264	2.69743e-10
M00267	1
M00266	1
M00261	7.2411e-12
M00260	0.816075
M00263	1.6729e-08
M00262	0.339665
M00303	0.808721
M00300	1
M00301	2.41394e-07
M00306	0.993636
M00307	1
M00305	0.0014295
M00168	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	0.994403
M00008	1
M00159	1
M00135	0.999968
M00134	1
M00136	0.979527
M00130	5.63834e-06
M00133	1
M00151	0.0160612
M00150	0.926328
M00180	6.80081e-09
M00228	1
M00183	1
M00185	1
M00186	1
M00187	1.00505e-06
M00221	1
M00220	0.00663108
M00223	1
M00222	1
M00225	0.998642
M00224	1
M00227	1
M00226	0.998038
M00308	0.999994
M00355	0.00119637
M00354	1.53364e-07
M00351	0.509775
M00353	1.14065e-12
M00352	0.024293
M00359	1
M00358	3.96064e-09
M00319	1
M00258	1
M00310	1
M00171	1
M00170	1
M00173	0.964965
M00172	1
M00175	1
M00174	1
M00176	0.990037
M00178	1
M00079	1
M00072	1.80807e-13
M00073	0.000498385
M00076	1
M00077	1
M00229	0.981324
M00181	0.000617716
M00188	1
M00189	1
M00250	1
M00251	1
M00252	1.01768e-05
M00253	1
M00254	1
M00255	1
M00256	1
M00311	1
M00259	1
M00313	1
M00312	1
M00317	0.964428
M00034	5.74404e-12
M00035	1
M00036	0.648721
M00030	1.46406e-06
M00031	5.45029e-05
M00032	1.47225e-06
M00033	7.5672e-14
M00100	7.65372e-07
M00214	1
M00215	1
M00216	1
M00217	1
M00210	1
M00211	1
M00212	1
M00213	0.884229
M00063	1
M00218	0.0454787
M00219	0.48112
M00199	1
M00198	1
M00197	1
M00194	1
M00193	1
M00192	0.817557
M00191	0.993471
M00190	1
M00360	1
M00361	1
M00362	1
M00364	1
M00365	1
M00366	0.993176
M00367	0.389924
M00064	1
M00149	1
M00061	1
M00060	1
M00144	1
M00140	1
M00141	1
M00143	4.91122e-13
M00309	5.36996e-11
M00269	1
M00268	1
M00098	1
M00092	0.127537
M00093	1
M00090	1.36771e-06
M00091	0.622533
M00096	1
M00097	0.192552
M00095	1.82843e-12
M00324	1
M00325	0.0931575
M00326	0.994155
M00320	0.996915
M00321	1.28757e-10
M00322	1.34813e-11
M00323	3.06055e-08
M00249	0.989645
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00241	0.883211
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	1
M00026	1
M00025	1
M00024	1
M00117	0.999831
M00116	3.55777e-12
M00115	1
M00299	1
M00296	3.94085e-09
M00119	1
M00118	0.990874
M00057	1.8573e-10
M00055	0.179311
M00052	1
M00053	1
M00050	1
M00051	1
M00202	1
M00201	0.997706
M00200	0.986751
M00207	1
M00206	0.563885
M00205	1
M00204	0.0194304
M00209	1
M00208	1
M00169	1
M00278	0.968905
