PID	Coverage
M00279	0.215407
M00276	1
M00277	1
M00274	1
M00275	1
M00272	0.892456
M00273	1
M00270	1
M00271	1
M00012	2.2621e-05
M00010	1
M00011	0.995268
M00016	1
M00017	1
M00014	0.0518732
M00015	1
M00153	1
M00018	1
M00019	1
M00157	1
M00128	0.085025
M00126	1
M00127	1
M00124	1
M00125	1
M00123	1
M00120	1
M00121	1
M00089	3.35528e-07
M00088	0.383427
M00081	1
M00083	1
M00082	3.64784e-10
M00085	2.82389e-10
M00087	1
M00086	1
M00336	1
M00334	0.00511067
M00338	1
M00238	1
M00239	1
M00232	1
M00233	0.898038
M00230	1
M00231	8.54767e-05
M00236	1
M00237	1
M00234	1
M00235	0.013236
M00344	1
M00345	0.628531
M00342	2.38339e-09
M00343	3.57509e-09
M00348	1
M00349	1
M00289	1
M00166	0.962487
M00167	0.162562
M00164	1
M00165	0.0460526
M00283	0.999965
M00282	1
M00281	0.99994
M00169	1
M00287	0.993573
M00049	1
M00048	1
M00045	1
M00046	1
M00040	1
M00265	1
M00264	0.00127426
M00267	1
M00266	1
M00261	5.64342e-08
M00260	3.39608e-05
M00263	0.00201154
M00303	0.00281778
M00300	1
M00306	0.851932
M00307	1
M00305	0.00237831
M00168	0.999998
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	0.997037
M00008	1
M00159	1
M00135	1
M00134	1
M00131	2.15014e-06
M00130	0.0831669
M00133	1
M00151	0.000773102
M00150	1
M00228	1
M00183	1
M00185	1
M00186	1
M00187	7.38749e-06
M00221	1
M00220	0.977457
M00223	1
M00222	1
M00225	0.664955
M00224	1
M00227	1
M00226	0.664958
M00308	1
M00359	1
M00358	1.45017e-06
M00319	0.000123817
M00318	2.29871e-10
M00258	1
M00310	1
M00171	0.999354
M00170	1
M00173	0.953778
M00172	0.999998
M00175	1
M00174	0.405185
M00176	0.99896
M00178	1
M00079	1
M00073	1.82315e-06
M00076	1
M00077	1
M00229	0.990843
M00188	1
M00189	1
M00250	1
M00251	1
M00252	3.30222e-06
M00253	1
M00254	1
M00255	1
M00256	1
M00311	1
M00259	1
M00313	1
M00312	1
M00317	0.663271
M00034	0.88127
M00035	1
M00036	0.186145
M00037	2.31638e-09
M00030	1.8266e-05
M00031	0.464139
M00032	3.65731e-05
M00100	0.59405
M00214	1
M00215	1
M00216	1
M00217	0.991945
M00210	1
M00211	1
M00212	1
M00063	1
M00218	0.0558543
M00219	0.934211
M00199	1
M00198	1
M00197	1
M00194	1
M00193	1
M00192	2.81928e-09
M00191	0.988731
M00190	1
M00360	1
M00361	1
M00362	1
M00364	1
M00365	1
M00366	0.999993
M00064	1
M00148	0.993469
M00061	1
M00060	1
M00144	1
M00140	1
M00141	1
M00143	7.47532e-06
M00309	1.6376e-10
M00269	1
M00268	0.987389
M00098	1
M00092	6.95717e-07
M00093	1
M00090	8.11327e-06
M00091	0.996856
M00096	1
M00097	2.64691e-05
M00095	0.00710678
M00324	1
M00325	0.954371
M00326	0.99996
M00327	1.6042e-11
M00320	1
M00321	0.0128864
M00322	1.4445e-06
M00249	0.0307966
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	1
M00026	1
M00025	1
M00024	1
M00280	6.96723e-05
M00117	0.415269
M00115	1
M00299	1
M00294	3.00938e-08
M00296	0.00529169
M00119	1
M00118	1
M00057	2.70703e-10
M00055	9.04135e-06
M00052	1
M00053	1
M00050	1
M00051	1
M00202	1
M00201	1
M00200	0.999994
M00207	1
M00206	0.944923
M00205	1
M00204	0.85194
M00209	1
M00208	1
