PID	Abundance
M00279	1249.69955891
M00276	8459.69074923
M00277	263.091783524
M00274	666.028133554
M00275	1527.27974344
M00272	348.338926451
M00273	14105.9616198
M00270	3619.20765959
M00271	9379.36162739
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00278	0.0240742007101
M00370	0
M00012	5845.42044826
M00013	0.175934491356
M00010	10974.5357264
M00011	18675.235395
M00016	14765.5030509
M00017	9636.87857578
M00014	118.231714938
M00015	13783.8231447
M00153	8994.71477757
M00152	3.37631210294e-26
M00018	17430.1410744
M00019	13671.5845141
M00157	21113.1900022
M00156	7691.01673851
M00155	0
M00154	0
M00128	212.695408204
M00129	130.593920614
M00126	4573.23726567
M00127	8016.65132963
M00124	723.645575587
M00125	16755.2647681
M00122	443.067014395
M00123	8475.7660323
M00120	18154.9437836
M00121	11239.3193546
M00089	3.54060760918e-16
M00088	29.6877648742
M00081	2.11772293335e-21
M00080	2.14295651062e-37
M00083	14107.9705701
M00082	172.107146401
M00085	2.60477215069e-07
M00087	176.678286301
M00086	15867.4081592
M00333	524.742612814
M00332	0
M00331	0
M00330	0.00476731086265
M00337	0
M00336	13999.2979584
M00335	7988.76428446
M00334	549.763245768
M00339	4.43630837192e-119
M00338	1654.75150428
M00238	18215.6257081
M00239	11128.577117
M00232	381.905781977
M00233	3838.0879502
M00230	101.665976731
M00231	3.02520106183e-07
M00236	12609.4054361
M00237	2242.48140655
M00234	2391.24762011
M00235	7.58827072341e-06
M00346	1.47587955864e-13
M00347	0
M00344	1925.84345764
M00345	7.26874606947e-06
M00342	201.401185977
M00343	2.37146687252e-10
M00340	0
M00341	1.23456792573e-77
M00348	178.802529347
M00349	5105.22170024
M00162	0
M00163	0
M00160	0
M00288	0
M00166	0
M00167	6.43367573279
M00164	21113.1900022
M00165	0
M00283	2763.12381374
M00282	789.094830967
M00168	13748.9392974
M00169	6281.247607
M00287	0.546753103084
M00286	1.75578496971e-24
M00285	3.33504895361e-08
M00284	8.5795965649e-27
M00049	23693.2526056
M00048	23610.9674082
M00045	3178.74662419
M00044	7.27913282903e-25
M00047	1.26573795381e-10
M00046	4.70165835396
M00040	184.721816799
M00043	2.02552745366
M00042	4.24828626005e-15
M00265	5559.56020687
M00264	1.58415926186e-07
M00267	3369.09326823
M00266	751.898452786
M00261	0.0832283784941
M00260	0
M00263	5.77054639185
M00262	11.6935209247
M00302	8.08118400638e-09
M00303	6.62667277705e-09
M00300	3779.07726395
M00301	3.38888521845e-68
M00306	0.654526589543
M00307	18775.8047999
M00304	113.741361106
M00305	3.66781504312e-12
M00289	2.52156200339e-05
M00161	0
M00281	1460.290645
M00001	20178.3801653
M00003	19965.0221403
M00002	23258.9540151
M00005	22549.2098823
M00004	16012.0920708
M00007	16489.1645404
M00006	15561.8491382
M00009	14784.8528816
M00008	7094.16077792
M00159	2398.44201191
M00158	0
M00138	0
M00135	1226.83983098
M00134	2145.83669344
M00137	0
M00136	5.41795923245e-20
M00131	6.95532306099e-10
M00130	0.0204278377574
M00133	2117.46411402
M00132	0
M00151	7719.71703281
M00150	5243.59647368
M00180	0
M00228	6393.45316154
M00182	0
M00183	24423.9447173
M00184	0
M00185	7161.09162469
M00186	141.764541786
M00187	1.49198645081e-05
M00188	5588.19794357
M00189	10452.6246227
M00223	1064.24948246
M00222	4259.65252867
M00225	80.4915563129
M00224	286.566150055
M00227	243.116171675
M00226	111.928745368
M00308	0
M00355	0
M00354	0
M00357	0
M00356	0
M00351	0
M00350	0
M00353	1.58230048828e-13
M00352	0
M00359	19789.5652909
M00358	0
M00319	2314.33575187
M00251	37.6485960643
M00311	300.320537944
M00259	4152.28996936
M00171	325.442187559
M00170	7131.32711206
M00173	1.16732729495e-11
M00172	6782.65757647
M00175	396.790894693
M00174	318.826231125
M00177	0
M00176	0.000286128890526
M00179	0
M00178	28826.9979687
M00078	2.65291526119e-12
M00079	101.295509476
M00071	0
M00072	1.59959779129e-15
M00073	1.41830312257e-13
M00074	0
M00075	0
M00076	6.00178207648
M00077	88.7020724275
M00229	2517.01668784
M00181	0
M00118	7540.9012242
M00221	3673.21091279
M00220	7.25420955545e-07
M00250	10607.0454074
M00318	1087.31122313
M00252	555.852927801
M00253	8.27697257691e-05
M00254	13197.5015281
M00255	9616.22561402
M00256	15697.7505281
M00257	1.69543509213e-08
M00258	12169.5357875
M00310	0.0056771794969
M00313	5.51174892264
M00312	0
M00315	0
M00314	0
M00317	3315.01372311
M00316	110.274638781
M00038	0
M00039	0
M00034	0.00223318588382
M00035	8938.01130463
M00036	87.1946446133
M00037	2.19366734132e-12
M00030	0
M00031	0.504517921701
M00032	1.12946945628e-27
M00033	1.49679781425e-19
M00113	0
M00112	2.70407618084e-27
M00109	0
M00119	3974.67993827
M00100	2.56008403201e-08
M00101	0
M00102	0
M00103	0.000101544040419
M00104	0
M00105	0
M00106	1.15015780037e-16
M00107	1.62221994873e-25
M00214	7086.02778491
M00215	1192.35816265
M00216	119.621449702
M00217	6.77289906449e-11
M00210	7300.11615117
M00211	939.119026664
M00212	2794.29114417
M00213	0
M00148	5.2930872691e-06
M00218	17.0741658582
M00219	917.069863804
M00199	146.575023035
M00198	395.922797421
M00197	4915.65607022
M00194	5163.06982515
M00193	1203.45865057
M00192	3.39922401887e-09
M00191	4096.88269612
M00190	5792.62566444
M00142	2.0710202583e-51
M00068	0
M00360	21002.1933121
M00361	205.374193693
M00362	525.524230379
M00364	5906.10268566
M00365	3221.75865234
M00366	0.534539573872
M00367	4.23992934184e-22
M00368	1.63699125171e-82
M00369	0
M00067	8.16084693219e-75
M00066	1.56516097624e-13
M00065	6.71676222457e-18
M00064	7272.06379549
M00063	10325.5387821
M00149	16445.8994562
M00061	15.078679289
M00060	10525.3963262
M00144	10139.2509823
M00145	0
M00146	0
M00147	0
M00140	19855.511092
M00141	817.064842834
M00069	2.78954445593e-86
M00143	0
M00309	0
M00269	7505.54616297
M00268	5655.62378913
M00098	810.01234798
M00099	0
M00092	77.0056345492
M00093	13846.3162562
M00090	0.163525772879
M00091	125.765033989
M00096	13783.0557693
M00097	477.702831844
M00094	0
M00095	457.069781063
M00324	1809.4082215
M00325	470.048047376
M00326	185.92016379
M00327	2.85206450215e-89
M00320	9183.64790199
M00321	5.24685903517e-09
M00322	2.65439662096e-24
M00323	6.33374660747e-19
M00328	1.62462090492e-07
M00329	0
M00249	1215.17372196
M00248	14042.6970902
M00247	7257.8928247
M00246	5392.22506507
M00245	5392.22506507
M00244	8249.5357091
M00243	9040.03067461
M00242	10428.9518008
M00241	2.86713329118e-15
M00240	23073.8148336
M00029	7771.6091467
M00028	8947.04096833
M00023	17416.8706571
M00022	16285.0803248
M00021	17964.4557905
M00020	13872.2031505
M00027	1199.72478276
M00026	9827.00746538
M00025	9056.67513171
M00024	8011.74660093
M00280	1302.17528727
M00117	3190.31338568
M00116	41.472641437
M00115	8934.77136255
M00114	0
M00298	644.465148277
M00299	5959.81271614
M00110	0
M00294	2.48893866462e-14
M00295	1.13754483636e-30
M00296	52.2733121524
M00297	6.04211388668e-56
M00290	1.46043431901e-19
M00291	2.7595033098e-31
M00292	0
M00293	0
M00058	0.00292309527004
M00059	1.44321808195e-17
M00056	0
M00057	1.00885214155
M00055	1.15995833824e-13
M00052	19308.1848313
M00053	21602.6908337
M00050	23407.0115252
M00051	18861.3112799
M00203	2.08679265594e-11
M00202	53.7906511975
M00201	52.8267240259
M00200	0.00137867771075
M00207	3987.79213757
M00206	131.217043685
M00205	40.9026885275
M00204	210.588921805
M00209	10863.4666189
M00208	6251.43449073
