PID	Coverage
M00279	1
M00276	1
M00277	1
M00274	1
M00275	1
M00272	0.996779
M00273	1
M00270	1
M00271	1
M00278	0.00817033
M00012	0.996415
M00010	1
M00011	1
M00016	1
M00017	1
M00014	0.00582137
M00015	1
M00153	1
M00018	1
M00019	1
M00157	1
M00156	1
M00128	0.727854
M00129	0.0554549
M00126	1
M00127	1
M00124	1
M00125	1
M00122	0.18094
M00123	1
M00120	1
M00121	1
M00083	1
M00082	0.0116058
M00087	0.999956
M00086	1
M00333	0.98176
M00336	1
M00334	0.842899
M00338	1
M00238	1
M00239	1
M00232	0.999309
M00233	1
M00230	0.436529
M00236	1
M00237	1
M00234	1
M00235	0.016728
M00346	0.0158693
M00344	1
M00345	0.904448
M00342	0.920122
M00343	0.0565703
M00348	0.774874
M00349	1
M00289	0.0211084
M00167	0.946718
M00164	1
M00283	1
M00282	1
M00281	1
M00169	1
M00287	0.629426
M00049	1
M00048	1
M00045	1
M00046	0.335909
M00040	0.380791
M00265	1
M00267	1
M00266	1
M00261	0.00966093
M00263	0.00784791
M00262	0.0296245
M00303	0.0407827
M00300	1
M00306	0.11266
M00307	1
M00304	0.209324
M00305	0.00416938
M00168	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	1
M00008	1
M00159	1
M00135	0.998156
M00134	1
M00136	0.0845705
M00130	0.0052901
M00133	1
M00151	1
M00150	1
M00228	1
M00183	1
M00185	1
M00186	0.22329
M00221	1
M00223	1
M00222	1
M00225	0.773855
M00224	0.999629
M00227	1
M00226	0.862665
M00359	1
M00319	1
M00318	1
M00258	1
M00310	0.482311
M00171	0.895596
M00170	1
M00173	0.280794
M00172	1
M00175	1
M00174	0.727936
M00176	0.851
M00178	1
M00079	0.541589
M00076	0.107875
M00077	0.0993142
M00229	1
M00188	1
M00189	1
M00250	1
M00251	0.568405
M00252	0.929362
M00253	0.0390733
M00254	1
M00255	1
M00256	1
M00311	1
M00259	1
M00313	0.657074
M00317	1
M00316	0.853746
M00035	1
M00036	0.951791
M00214	1
M00215	0.240378
M00216	0.967848
M00210	1
M00211	1
M00212	1
M00063	1
M00218	0.267613
M00219	0.465704
M00199	0.999886
M00198	0.999999
M00197	1
M00194	1
M00193	1
M00191	1
M00190	1
M00360	1
M00361	0.138703
M00362	0.325703
M00364	1
M00365	1
M00366	0.400846
M00064	1
M00149	1
M00061	0.99443
M00060	1
M00144	1
M00140	1
M00141	1
M00269	1
M00268	1
M00098	1
M00093	1
M00090	0.248709
M00091	0.0536594
M00096	1
M00097	0.868276
M00095	1
M00324	1
M00325	0.999996
M00326	0.925148
M00320	1
M00321	0.0118806
M00249	1
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	0.999961
M00026	1
M00025	1
M00024	1
M00280	1
M00117	1
M00115	1
M00298	1
M00299	1
M00296	0.0603482
M00119	1
M00118	1
M00052	1
M00053	1
M00050	1
M00051	1
M00202	0.82495
M00201	0.427624
M00200	0.162876
M00207	1
M00206	0.173903
M00205	0.99547
M00204	0.307601
M00209	1
M00208	1
